ID,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,
67,2021-10-12,WCQ,First round,Home,Portugal,Luxembourg,Y*,,,,,13,1-0,Anthony Moris,,,,,,
68,2021-10-12,WCQ,First round,Home,Portugal,Luxembourg,Y*,,,,,8,0-0,Anthony Moris,,,,,,
69,2021-10-09,Friendlies (M),Friendlies (M),Home,Portugal,Qatar,Y*,,,,,37,0-0,Saad Al Sheeb,,,,,,
70,2021-09-29,Champions Lg,Group stage,Home,Manchester Utd,Villarreal,Y,0.08,0.09,Right Foot,10,90+5,1-1,Gerónimo Rulli,Jesse Lingard,Jesse Lingard,Pass (Live),Cristiano Ronaldo,Pass (Live),
71,2021-09-19,Premier League,Matchweek 5,Away,Manchester Utd,West Ham,Y,0.92,1,Right Foot,3,35,0-1,Łukasz Fabiański,,Cristiano Ronaldo,Shot,,,
72,2021-09-14,Champions Lg,Group stage,Away,Manchester Utd,Young Boys,Y,0.43,0.79,Right Foot,9,13,0-0,David von Ballmoos,Bruno Fernandes,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live),
73,2021-09-11,Premier League,Matchweek 4,Home,Manchester Utd,Newcastle Utd,Y,0.17,0.11,Left Foot,10,62,1-1,Freddie Woodman,Luke Shaw,Luke Shaw,Pass (Live),Paul Pogba,Pass (Live),
74,2021-09-11,Premier League,Matchweek 4,Home,Manchester Utd,Newcastle Utd,Y,0.93,0.97,Right Foot,3,45+2,0-0,Freddie Woodman,,Mason Greenwood,Shot,,,
75,2021-09-01,WCQ,First round,Home,Portugal,Rep. of Ireland,Y*,,,,,90+6,1-1,Gavin Bazunu,,,,,,
76,2021-09-01,WCQ,First round,Home,Portugal,Rep. of Ireland,Y*,,,,,89,0-1,Gavin Bazunu,,,,,,
77,2021-06-23,UEFA Euro,Group stage,Neutral,Portugal,France,Y*,0.79,0.99,Right Foot,13,60,1-2,Hugo Lloris,,,Fouled,João Moutinho,Pass (Live),
